"doi","period","issn","ut"
"10.1007/s11692-016-9388-1",2017,"0071-3260","ut:000397993500006"
"10.1007/s10682-016-9871-2",2017,"0269-7653","ut:000394017000004"
"10.1007/s10682-016-9872-1",2017,"0269-7653","ut:000394017000009"
"10.1007/s11119-015-9420-y",2016,"1385-2256","ut:000374965200003"
"10.1007/s11119-016-9444-y",2016,"1385-2256","ut:000387107000004"
"10.1007/s11119-016-9452-y",2017,"1385-2256","ut:000394982900003"
"10.1007/s10973-015-5026-x",2016,"1388-6150","ut:000371159900072"
"10.1007/s10973-015-5141-8",2016,"1388-6150","ut:000371159900075"
"10.1007/s10973-015-5141-8",2016,"1388-6150","ut:000371159900075"
"10.1007/s10973-015-5101-3",2016,"1388-6150","ut:000371159900059"
"10.1007/s10973-015-5016-z",2016,"1388-6150","ut:000368199500017"
"10.1007/s10973-016-5651-z",2017,"1388-6150","ut:000392337000104"
"10.1007/s10973-016-5426-6",2017,"1388-6150","ut:000392337000092"
"10.1007/s10973-016-6081-7",2017,"1388-6150","ut:000394142200021"
"10.1007/978-981-10-1128-3_4",2016,"2364-5083","ut:000389708100004"
"10.1007/978-981-10-0740-8_24",2016,"1876-1100","ut:000386917300024"
"10.1007/s12228-016-9408-6",2016,"0007-196X","ut:000377431100011"
"10.1007/s12228-016-9445-1",2017,"0007-196X","ut:000395447100006"
"10.1007/s11886-016-0719-8",2016,"1523-3782","ut:000374590900004"
"10.1007/s11253-016-1197-2",2016,"0041-5995","ut:000380360800007"
"10.1007/s11084-015-9468-8",2016,"0169-6149","ut:000385183300001"
"10.1007/s11084-015-9470-1",2016,"0169-6149","ut:000385183300012"
"10.1007/s11185-016-9167-8",2016,"0304-3487","ut:000386350300005"
"10.1007/s11185-016-9168-7",2016,"0304-3487","ut:000386350300003"
"10.1007/s10518-016-9940-5",2016,"1570-761X","ut:000379516000013"
"10.1007/s10518-016-9889-4",2016,"1570-761X","ut:000381152400004"
